all_10,all_15,all_20,select_20,select_15,select_10
 黴體, 混混, 幹滾啦, 鄉民會, 人渣, 綠渣
 婊子, 支那人, 中天東, 版肥宅, 嘴人, 蠢蛋
 鄉民會, 和柯粉, 酸宅, 藍媒, 改不了, 正晶
 賤人, 貞潔, 中國人會, 好帥, 狗雜碎, 不得好死
 現職, 狗養貓, 閃殺, 採蜜, 耖, 拉雞
 三粒, 一家老小, 柯黑真, 弱智, 紅姨, 版友
 採蜜, 綠粉, 淦, 米蟲, 共匪, 拉基
 弱智, 小混混, 幹大, 賤貨, 喜翻, 幹你娘
 賤貨, 文嚇, 神邏輯, 操你媽無恥, 糞國, 低能
 操你媽無恥, 智障, 乾薪, 幹為, tony, 東然
 鄉民, 輕軍, 柯粉馬, 鄉民, 母湯, ptt
 真柯粉, 死死, 無信, 咖小, 肥仔, 8+9
 亂報, 台霉, 嘻嘻, 阿中國, 堪慮, 這版
 柯粉, 母豬, 賤無恥, 五樓鬆肛, 專出, 宅宅
 某樓, 死不足惜, 特發文, ZZZ, JP, 鄉民酸
777, 柯粉會, 酸葡萄, 某樓, 酸民, 敗類
 滾蛋, 狗奴才, 綠色的, 酸, 真當, 訐
 狂噓, 藍粉, 廟會, 簡余晏, 彭文正, 真肥宅
 無腦女, 眼紅,926, 滾蛋, 黑柯, 下賤
 太妹,847, 柯衛兵, 沒救, 辛旗, 喇幹
 瘦宅, 珮珊, 嗆我嗆夠了沒, 太妹, 民嘴, 刪滾
 拉機, 死宅, 八加九, PTT, 渣滓, 酸人
 笑死人, 幹妹, 洪姨, 瘦宅, 鄭弘儀, Allpost
 人渣, 犯科, 滾幹, 拉機, 腦婆, 甲賽
 死破麻, 黴體, 混混, 笑死人, 爛貨, 樓別
 韓粉, 賤人, 支那人, 人渣, 渣, 網友
 改不了, 現職, 和柯粉, 嘴人, 裝屎, 矮額
 牌坊, 三粒, 貞潔, 改不了, 肥宅, Wwwww
 技者, 操你媽無恥, 狗養貓, 匿名, 佩珊, 支那
